URL,ADR Folders,Number of ADR Files,Names of ADR Folders,Names of ADR Files
https://github.com/alphagov/accessibility-monitoring.git,1,5,docs/architecture/adrs,docs/architecture/adrs/ADR002-build-some-things.md| docs/architecture/adrs/ADR003-tool-choices.md| docs/architecture/adrs/ADR005-database-public-sector-websites.md| docs/architecture/adrs/ADR001-record-architectural-decisions.md| docs/architecture/adrs/ADR004-database-public-sector-domains.md
https://github.com/lucentminds/osticket-ticket-options-plugin.git,6,6,widgets/ui-error-banner/docs/adrs| widgets/ui-show-agent-remove/docs/adrs| widgets/ui-show-agent-add/docs/adrs| widgets/ui-agent-search/docs/adrs| widgets/ui-dialog-confirm/docs/adrs| widgets/ui-user-list/docs/adrs,widgets/ui-error-banner/docs/adrs/001-required-properties.md| widgets/ui-show-agent-remove/docs/adrs/001-required-properties.md| widgets/ui-show-agent-add/docs/adrs/001-required-properties.md| widgets/ui-agent-search/docs/adrs/001-required-properties.md| widgets/ui-dialog-confirm/docs/adrs/001-required-properties.md| widgets/ui-user-list/docs/adrs/001-required-properties.md
https://github.com/ksch-workflows/ksch-workflows.git,1,3,infrastructure/doc/architecture/decisions,infrastructure/doc/architecture/decisions/0002-using-spring-boot.md| infrastructure/doc/architecture/decisions/0003-using-gradle-instead-of-maven.md| infrastructure/doc/architecture/decisions/0001-record-architecture-decisions.md
https://github.com/nhsuk/register-with-a-gp-beta-web.git,1,5,docs/architecture/decisions,docs/architecture/decisions/0005-add-synthetic-max-age-to-session-cookie.md| docs/architecture/decisions/0004-cookies-encryption.md| docs/architecture/decisions/0002-use-hapi-js-framework-for-http.md| docs/architecture/decisions/0003-use-persistant-cookies.md| docs/architecture/decisions/0001-record-architecture-decisions.md
https://github.com/gussalesdev/origin-frontend-challenge.git,1,2,docs/adr,docs/adr/0001-architecture-decision-records.md| docs/adr/0002-testcafe-for-end-to-end-tests.md
https://github.com/yarbelk/adr.git,1,4,docs,docs/ADR-0002.md| docs/ADR-0003.md| docs/ADR-0001.md| docs/ADR-0004.md
https://github.com/sirohiwebdev/seda-frontend.git,1,5,docs/adr,docs/adr/0004-multi-tenant-architecture.md| docs/adr/0003-application-configuration-setup.md| docs/adr/0000-historic-decisions.md| docs/adr/0001-fetching-incidents.md| docs/adr/0002-using-local-state-in-settings-module.md
https://github.com/nhsuk/connecting-to-services.git,1,17,doc/adr,doc/adr/0009-search-by-place.md| doc/adr/0005-add-cache-control-headers.md| doc/adr/0006-use-prometheus-for-exposing-metrics.md| doc/adr/0014-use-azure-search.md| doc/adr/0007-remove-cache-control-headers.md| doc/adr/0013-remove-google-sitelinks-searchbox-metadata.md| doc/adr/0004-use-api-layer-for-returning-services.md| doc/adr/0003-use-postcodes-io-for-postcode-lookup.md| doc/adr/0010-use-postcodes-io-for-reverse-geocoding.md| doc/adr/0016-add-service-search-to-site-root.md| doc/adr/0017-update-links-to-pims-profiles.md| doc/adr/0012-remove-snyk.md| doc/adr/0008-add-basic-authentication-to-test-environments.md| doc/adr/0002-use-express-web-framework.md| doc/adr/0015-add-info-page.md| doc/adr/0001-record-architecture-decisions.md| doc/adr/0011-add-google-sitelinks-searchbox-metadata.md
https://github.com/ais-dotnet/Ais.Net.git,1,2,docs/adr,docs/adr/0002-missing-fragment-handling.md| docs/adr/0001-error-handling-strategy.md
https://github.com/pulibrary/dpul.git,1,7,architecture-decisions,architecture-decisions/0006-exhibits-are-collections.md| architecture-decisions/0005-resource-per-collection.md| architecture-decisions/0007-indexing-visibility.md| architecture-decisions/0002-build-on-spotlight.md| architecture-decisions/0001-document-architecture-decisions.md| architecture-decisions/0004-index-from-iiif-manifests.md| architecture-decisions/0003-synchronization-via-rabbitmq.md
